,GEO_NAME,0_x,Immigrants,Non-immigrants,Non-permanent residents,0_y,With children,Without children,0,Married or living common-law,Not married and not living common-law
37,Essa,22785.0,5810.0,20005.0,100.0,20155.0,3365.0,2425.0,18345.0,25800.0,13320.0
38,Estevan,12555.0,3585.0,11075.0,130.0,10805.0,1525.0,1565.0,10380.0,13740.0,8125.0
39,Fort St. John,28430.0,7675.0,24685.0,720.0,23130.0,3430.0,3060.0,22625.0,29890.0,18695.0
40,Fredericton,107165.0,23900.0,95865.0,1790.0,93655.0,12020.0,14495.0,91585.0,118460.0,75575.0
41,Gander,13080.0,795.0,12695.0,80.0,12250.0,1520.0,1965.0,11395.0,15545.0,8590.0
42,Granby,88245.0,10465.0,83155.0,670.0,76625.0,8565.0,13065.0,76390.0,109330.0,64690.0
43,Grand Falls-Windsor,13600.0,610.0,13250.0,100.0,12740.0,1425.0,2095.0,11925.0,15570.0,9510.0
44,Grande Prairie,63180.0,21575.0,53815.0,1000.0,51395.0,7805.0,6140.0,50170.0,64460.0,43180.0
45,Greater Sudbury / Grand Sudbury,167620.0,22740.0,154070.0,3560.0,146340.0,18210.0,21820.0,144260.0,182525.0,125415.0
46,Guelph,163485.0,84675.0,123670.0,2715.0,137510.0,20680.0,18195.0,138655.0,173990.0,117850.0
47,Halifax,461135.0,128070.0,392615.0,17040.0,392455.0,49670.0,59965.0,396355.0,496255.0,346310.0
48,Hamilton,773440.0,442050.0,561180.0,14410.0,660505.0,97895.0,82980.0,659370.0,799890.0,577605.0
49,Hawkesbury,11640.0,1455.0,10980.0,35.0,9900.0,845.0,1685.0,10535.0,12110.0,10765.0
50,Hawkesbury (Ontario part),9830.0,1360.0,9215.0,35.0,8340.0,695.0,1440.0,8995.0,10190.0,9265.0
51,Hawkesbury (Quebec part),1815.0,80.0,1770.0,0.0,1565.0,155.0,245.0,1540.0,1920.0,1515.0
52,High River,14110.0,6885.0,11315.0,150.0,12405.0,1530.0,1985.0,11875.0,15395.0,9350.0
53,Ingersoll,13545.0,2220.0,12485.0,30.0,12155.0,1665.0,1695.0,11195.0,14970.0,8820.0
54,Joliette,50165.0,5085.0,47725.0,320.0,42290.0,4365.0,7135.0,45065.0,58455.0,42940.0
55,Kamloops,110545.0,24255.0,96970.0,2750.0,96120.0,11625.0,15515.0,97175.0,123880.0,82595.0
56,Kawartha Lakes,77230.0,12635.0,70930.0,195.0,72530.0,8195.0,12655.0,68710.0,93090.0,52595.0
57,Kelowna,218525.0,70750.0,182660.0,4290.0,191395.0,22265.0,32970.0,191550.0,247410.0,157450.0
58,Kenora,14610.0,1415.0,13855.0,115.0,12765.0,1520.0,1995.0,12670.0,16045.0,11025.0
59,Kentville,26600.0,3280.0,24830.0,370.0,24065.0,2670.0,3940.0,23085.0,29655.0,19285.0
60,Kingston,168075.0,45040.0,144460.0,3320.0,144360.0,17545.0,22605.0,147735.0,181660.0,131385.0
61,Kitchener - Cambridge - Waterloo,568065.0,337740.0,399245.0,22250.0,474900.0,72385.0,60515.0,477255.0,588240.0,409645.0
62,Lachute,13360.0,695.0,13030.0,15.0,11315.0,1120.0,1810.0,12105.0,14795.0,12190.0
63,Lacombe,13070.0,3830.0,11410.0,100.0,11190.0,1565.0,1595.0,10760.0,13770.0,8610.0
64,Ladysmith,15235.0,3520.0,13440.0,80.0,14375.0,1480.0,2660.0,13355.0,18545.0,9860.0
65,Lethbridge,120495.0,41445.0,101375.0,1735.0,99220.0,13555.0,14540.0,100305.0,125055.0,85015.0
66,Lloydminster,35920.0,12150.0,31030.0,270.0,29550.0,4675.0,3485.0,28360.0,36285.0,23350.0
67,Lloydminster (Alberta part),19225.0,5445.0,16905.0,185.0,15955.0,2505.0,1955.0,15555.0,19740.0,12770.0
68,Lloydminster (Saskatchewan part),16695.0,6690.0,14120.0,90.0,13600.0,2170.0,1525.0,12800.0,16565.0,10580.0
69,London,535780.0,265745.0,400620.0,19560.0,446835.0,61625.0,60840.0,453835.0,545485.0,406905.0
70,Matane,18020.0,500.0,17520.0,290.0,15610.0,1535.0,2905.0,16105.0,22495.0,14125.0
71,Medicine Hat,74590.0,17210.0,66665.0,700.0,65025.0,7965.0,10225.0,63075.0,80680.0,51570.0
72,Midland,26360.0,4840.0,24020.0,80.0,23895.0,2525.0,3865.0,24410.0,29150.0,22540.0
73,Miramichi,27040.0,2065.0,26065.0,110.0,24655.0,2680.0,3975.0,23900.0,29305.0,20735.0
74,Moncton,154245.0,35205.0,136130.0,4775.0,133910.0,16995.0,20750.0,133235.0,171985.0,112810.0
75,Montréal,4206455.0,2367825.0,3021825.0,161680.0,3429110.0,491220.0,444405.0,3570005.0,4523005.0,3296145.0
76,Moose Jaw,34160.0,7935.0,30475.0,570.0,28530.0,3540.0,4255.0,28675.0,34780.0,25405.0
